company,stand_or_location,profile_url,raw_href,logo_proxy_url,logo_original_url
Atlas Procurement Solution,Stand C9,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyODEwOTk=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyODEwOTk=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2F8e8d0a1dc8be477d8f09494a14106321.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/8e8d0a1dc8be477d8f09494a14106321.png
AutoPCB,Stand G6,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0NTcwODU=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0NTcwODU=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2F4203200e27d34c828dddda4b297be4d1.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/4203200e27d34c828dddda4b297be4d1.png
Avnet Abacus,Stand H1,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MzY=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MzY=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2F61d511eda1804086bd37657236b8a132.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/61d511eda1804086bd37657236b8a132.png
Avnet Silica,Stand H2,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MzU=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MzU=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2Fea8d9b7757094518a4010c3682e77aa9.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/ea8d9b7757094518a4010c3682e77aa9.png
Axiomtek,Stand B7,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NDE=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NDE=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2Fbb53d083b05c4757976e77f7f0b3cecf.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/bb53d083b05c4757976e77f7f0b3cecf.png
Azego TS Ltd and Vision Display Solutions,Stand H5,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NDA=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NDA=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2Ff2743cdd59074df2b53ffae2db9b9d05.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/f2743cdd59074df2b53ffae2db9b9d05.png
BCD Atlantik,Stand D1,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NDI=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NDI=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2Fd325edd116e44b04b8b03ca556e41737.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/d325edd116e44b04b8b03ca556e41737.png
BEC Group,Stand S8,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0MjAxODM=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0MjAxODM=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2Fa4824251f7b74de48b3de994531d12d0.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/a4824251f7b74de48b3de994531d12d0.png
Binder,Stand F11,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NDY=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NDY=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2F72c2c03747f24f1da2a77548392b55df.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/72c2c03747f24f1da2a77548392b55df.png
Bittium,Stand B15,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NDc=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NDc=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2F33cd30847989427296be0be43ce2986a.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/33cd30847989427296be0be43ce2986a.png
